DATE,RATE
1/01/1948,3
1/02/1948,3.3
1/03/1948,3.5
1/04/1948,3.5
1/05/1948,3.3
1/06/1948,3.2
1/07/1948,3.1
1/08/1948,3.4
1/09/1948,3.4
1/10/1948,3.4
1/11/1948,3.4
1/12/1948,3.6
1/01/1949,3.8
1/02/1949,4.2
1/03/1949,4.4
1/04/1949,4.7
1/05/1949,5.5
1/06/1949,5.6
1/07/1949,6.2
1/08/1949,6.2
1/09/1949,6
1/10/1949,7.3
1/11/1949,5.9
1/12/1949,5.9
1/01/1950,5.9
1/02/1950,5.7
1/03/1950,5.7
1/04/1950,5.3
1/05/1950,5
1/06/1950,4.9
1/07/1950,4.6
1/08/1950,4
1/09/1950,4
1/10/1950,3.7
1/11/1950,3.8
1/12/1950,3.8
1/01/1951,3.4
1/02/1951,3.1
1/03/1951,3
1/04/1951,2.8
1/05/1951,2.7
1/06/1951,2.9
1/07/1951,2.7
1/08/1951,2.8
1/09/1951,3
1/10/1951,3.2
1/11/1951,3.1
1/12/1951,2.8
1/01/1952,2.7
1/02/1952,2.8
1/03/1952,2.6
1/04/1952,2.6
1/05/1952,2.6
1/06/1952,2.6
1/07/1952,2.8
1/08/1952,3
1/09/1952,2.7
1/10/1952,2.6
1/11/1952,2.4
1/12/1952,2.3
1/01/1953,2.6
1/02/1953,2.3
1/03/1953,2.3
1/04/1953,2.4
1/05/1953,2.3
1/06/1953,2.2
1/07/1953,2.3
1/08/1953,2.3
1/09/1953,2.6
1/10/1953,2.7
1/11/1953,3.2
1/12/1953,4
1/01/1954,4.4
1/02/1954,4.6
1/03/1954,5.1
1/04/1954,5.3
1/05/1954,5.4
1/06/1954,5.3
1/07/1954,5.3
1/08/1954,5.5
1/09/1954,5.6
1/10/1954,5.3
1/11/1954,4.9
1/12/1954,4.6
1/01/1955,4.5
1/02/1955,4.2
1/03/1955,4.2
1/04/1955,4.3
1/05/1955,3.8
1/06/1955,3.8
1/07/1955,3.6
1/08/1955,3.8
1/09/1955,3.6
1/10/1955,3.8
1/11/1955,3.7
1/12/1955,3.7
1/01/1956,3.6
1/02/1956,3.4
1/03/1956,3.7
1/04/1956,3.5
1/05/1956,3.8
1/06/1956,3.8
1/07/1956,3.9
1/08/1956,3.6
1/09/1956,3.5
1/10/1956,3.4
1/11/1956,3.7
1/12/1956,3.8
1/01/1957,3.7
1/02/1957,3.5
1/03/1957,3.2
1/04/1957,3.4
1/05/1957,3.6
1/06/1957,3.7
1/07/1957,3.6
1/08/1957,3.6
1/09/1957,3.9
1/10/1957,4.1
1/11/1957,4.6
1/12/1957,4.6
1/01/1958,5.2
1/02/1958,5.9
1/03/1958,6.1
1/04/1958,6.8
1/05/1958,6.8
1/06/1958,6.8
1/07/1958,6.8
1/08/1958,6.8
1/09/1958,6.3
1/10/1958,6.1
1/11/1958,5.5
1/12/1958,5.6
1/01/1959,5.4
1/02/1959,5.4
1/03/1959,5
1/04/1959,4.5
1/05/1959,4.5
1/06/1959,4.4
1/07/1959,4.5
1/08/1959,4.5
1/09/1959,4.8
1/10/1959,5
1/11/1959,5.2
1/12/1959,4.6
1/01/1960,4.6
1/02/1960,4.2
1/03/1960,4.7
1/04/1960,4.5
1/05/1960,4.5
1/06/1960,4.7
1/07/1960,4.9
1/08/1960,4.9
1/09/1960,4.9
1/10/1960,5.3
1/11/1960,5.5
1/12/1960,5.8
1/01/1961,5.8
1/02/1961,6.1
1/03/1961,6.1
1/04/1961,6.3
1/05/1961,6.5
1/06/1961,6.2
1/07/1961,6.2
1/08/1961,5.8
1/09/1961,5.8
1/10/1961,5.7
1/11/1961,5.3
1/12/1961,5.3
1/01/1962,5
1/02/1962,4.7
1/03/1962,4.8
1/04/1962,4.8
1/05/1962,4.8
1/06/1962,4.8
1/07/1962,4.8
1/08/1962,5
1/09/1962,4.9
1/10/1962,4.7
1/11/1962,4.9
1/12/1962,4.9
1/01/1963,5
1/02/1963,5.1
1/03/1963,4.8
1/04/1963,4.8
1/05/1963,4.9
1/06/1963,4.7
1/07/1963,4.7
1/08/1963,4.6
1/09/1963,4.5
1/10/1963,4.6
1/11/1963,4.8
1/12/1963,4.7
1/01/1964,4.7
1/02/1964,4.6
1/03/1964,4.6
1/04/1964,4.4
1/05/1964,4.2
1/06/1964,4.3
1/07/1964,4.2
1/08/1964,4.1
1/09/1964,4.2
1/10/1964,4.2
1/11/1964,4
1/12/1964,4
1/01/1965,3.9
1/02/1965,4.1
1/03/1965,3.8
1/04/1965,3.9
1/05/1965,3.7
1/06/1965,3.7
1/07/1965,3.5
1/08/1965,3.5
1/09/1965,3.4
1/10/1965,3.3
1/11/1965,3.3
1/12/1965,3.2
1/01/1966,3.1
1/02/1966,3
1/03/1966,3
1/04/1966,2.9
1/05/1966,3
1/06/1966,2.9
1/07/1966,2.9
1/08/1966,3
1/09/1966,2.8
1/10/1966,2.8
1/11/1966,2.8
1/12/1966,3
1/01/1967,3.1
1/02/1967,3
1/03/1967,3.1
1/04/1967,3
1/05/1967,3
1/06/1967,3
1/07/1967,2.9
1/08/1967,2.9
1/09/1967,3
1/10/1967,3.1
1/11/1967,3
1/12/1967,3
1/01/1968,3
1/02/1968,3
1/03/1968,2.9
1/04/1968,2.7
1/05/1968,2.6
1/06/1968,2.8
1/07/1968,2.7
1/08/1968,2.7
1/09/1968,2.6
1/10/1968,2.6
1/11/1968,2.6
1/12/1968,2.5
1/01/1969,2.6
1/02/1969,2.6
1/03/1969,2.6
1/04/1969,2.6
1/05/1969,2.6
1/06/1969,2.7
1/07/1969,2.7
1/08/1969,2.7
1/09/1969,2.9
1/10/1969,2.9
1/11/1969,2.7
1/12/1969,2.7
1/01/1970,3
1/02/1970,3.3
1/03/1970,3.5
1/04/1970,3.6
1/05/1970,3.8
1/06/1970,3.9
1/07/1970,4.1
1/08/1970,4.1
1/09/1970,4.3
1/10/1970,4.4
1/11/1970,4.8
1/12/1970,5
1/01/1971,4.9
1/02/1971,4.9
1/03/1971,4.9
1/04/1971,4.9
1/05/1971,4.9
1/06/1971,4.8
1/07/1971,4.8
1/08/1971,5
1/09/1971,4.9
1/10/1971,4.8
1/11/1971,5
1/12/1971,4.9
1/01/1972,4.7
1/02/1972,4.5
1/03/1972,4.7
1/04/1972,4.6
1/05/1972,4.7
1/06/1972,4.6
1/07/1972,4.6
1/08/1972,4.5
1/09/1972,4.5
1/10/1972,4.5
1/11/1972,4.2
1/12/1972,4.1
1/01/1973,4.1
1/02/1973,4
1/03/1973,4
1/04/1973,3.9
1/05/1973,3.8
1/06/1973,3.9
1/07/1973,3.8
1/08/1973,3.9
1/09/1973,3.8
1/10/1973,3.5
1/11/1973,3.8
1/12/1973,3.9
1/01/1974,4.1
1/02/1974,4.1
1/03/1974,4
1/04/1974,4.1
1/05/1974,4
1/06/1974,4.2
1/07/1974,4.3
1/08/1974,4.5
1/09/1974,4.7
1/10/1974,4.8
1/11/1974,5.4
1/12/1974,6
1/01/1975,6.8
1/02/1975,6.9
1/03/1975,7.4
1/04/1975,7.6
1/05/1975,7.8
1/06/1975,7.5
1/07/1975,7.4
1/08/1975,7.1
1/09/1975,7.3
1/10/1975,7.2
1/11/1975,7.2
1/12/1975,7
